               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098103,            0.034168,            0.092498,             0.99054,            0.009324,            0.020509,           0.0058795,            0.071622,            0.022321,             0.08989,            0.070588,            0.003268,            0.003268
                   1,            0.063326,            0.033906,            0.084895,             0.58516,            0.059091,            0.044183,            0.021353,            0.063432,            0.014034,            0.086322,            0.040523,            0.006536,            0.006536
                   2,            0.057552,            0.027384,            0.079874,             0.96989,             0.01993,             0.06282,            0.027378,            0.058519,            0.012016,            0.080851,            0.010392,           0.0097379,           0.0097379
                   3,            0.053009,            0.023378,            0.075293,             0.97235,            0.036785,             0.10527,             0.06438,            0.044521,            0.010328,            0.076677,            0.009703,            0.009703,            0.009703
                   4,            0.045416,            0.019962,            0.070888,             0.68882,             0.10398,             0.10758,            0.056123,            0.043835,            0.009336,            0.073913,            0.009703,            0.009703,            0.009703
                   5,             0.04131,            0.018127,            0.066767,             0.58489,             0.15297,             0.12492,            0.078195,            0.035575,           0.0096107,            0.071108,            0.009604,            0.009604,            0.009604
                   6,            0.039045,            0.017775,            0.064065,             0.67822,             0.12333,             0.13659,             0.08189,            0.035148,             0.00875,             0.06868,            0.009505,            0.009505,            0.009505
                   7,            0.035659,            0.016527,            0.061593,             0.62797,              0.1728,             0.16175,            0.096193,            0.035773,           0.0090461,            0.066671,            0.009406,            0.009406,            0.009406
                   8,              0.0356,            0.017475,            0.060385,             0.58302,             0.18895,             0.16802,             0.11946,            0.029981,            0.008636,            0.064752,            0.009307,            0.009307,            0.009307
                   9,             0.03416,            0.015388,            0.057057,              0.4412,             0.23365,             0.20808,             0.13704,            0.031366,           0.0085559,             0.06394,            0.009208,            0.009208,            0.009208
                  10,            0.031924,            0.015413,            0.056117,             0.80781,             0.16673,             0.23153,             0.16876,            0.028025,           0.0083256,            0.061856,            0.009109,            0.009109,            0.009109
                  11,             0.03127,            0.014724,              0.0537,             0.80999,             0.20832,             0.24881,             0.17618,            0.028526,           0.0084767,            0.060233,             0.00901,             0.00901,             0.00901
                  12,            0.031648,            0.015121,            0.051786,             0.62076,              0.2612,             0.24746,             0.17566,            0.028854,           0.0081472,            0.059318,            0.008911,            0.008911,            0.008911
                  13,            0.031182,            0.015268,            0.050145,             0.69118,             0.23343,             0.25568,             0.18685,              0.0264,           0.0085878,            0.058502,            0.008812,            0.008812,            0.008812
                  14,            0.028873,            0.014406,            0.046943,             0.64939,             0.27146,               0.272,             0.18325,            0.028958,           0.0086045,            0.056915,            0.008713,            0.008713,            0.008713
                  15,            0.029873,            0.013864,            0.045872,             0.48948,             0.30112,             0.26915,              0.1951,            0.025914,           0.0086541,            0.055767,            0.008614,            0.008614,            0.008614
                  16,            0.029178,            0.014088,            0.043944,             0.58077,             0.32044,             0.28671,             0.20471,            0.027271,           0.0087991,            0.055623,            0.008515,            0.008515,            0.008515
                  17,             0.02909,            0.014162,            0.043813,             0.61076,             0.31229,             0.30728,             0.22973,            0.025371,           0.0080581,              0.0537,            0.008416,            0.008416,            0.008416
                  18,            0.028859,            0.013338,            0.043464,             0.56198,             0.31117,             0.30348,             0.21757,             0.02656,           0.0088878,            0.053962,            0.008317,            0.008317,            0.008317
                  19,            0.026953,             0.01337,            0.040759,             0.53716,             0.32182,             0.31039,             0.24375,            0.024174,           0.0084839,            0.052962,            0.008218,            0.008218,            0.008218
                  20,            0.027698,            0.013634,            0.040412,             0.68696,             0.28498,               0.311,             0.23435,            0.027048,            0.008821,             0.05329,            0.008119,            0.008119,            0.008119
                  21,            0.026556,            0.013114,            0.039205,             0.82167,              0.2239,             0.33359,             0.26229,            0.024305,           0.0087237,            0.050423,             0.00802,             0.00802,             0.00802
                  22,            0.026213,            0.012694,            0.038828,             0.55999,              0.3446,             0.34002,             0.25925,            0.027777,           0.0086861,            0.049771,            0.007921,            0.007921,            0.007921
                  23,            0.027531,            0.013853,             0.03667,             0.53718,              0.4394,             0.36075,             0.26597,            0.025223,           0.0084648,            0.048693,            0.007822,            0.007822,            0.007822
                  24,            0.026257,            0.012733,            0.037075,             0.47944,             0.42938,             0.33764,             0.25087,            0.025363,            0.009172,            0.048763,            0.007723,            0.007723,            0.007723
                  25,            0.025682,            0.012595,            0.036517,             0.44227,             0.43568,             0.37153,             0.28028,            0.024604,           0.0085421,            0.047885,            0.007624,            0.007624,            0.007624
                  26,            0.026318,            0.012522,            0.035047,              0.4758,             0.41438,             0.36661,             0.28619,            0.023576,           0.0087967,            0.046405,            0.007525,            0.007525,            0.007525
                  27,            0.025039,            0.012133,            0.032515,             0.61876,              0.4381,             0.36905,             0.27919,            0.024065,           0.0080023,            0.045589,            0.007426,            0.007426,            0.007426
                  28,            0.024698,            0.012091,            0.033167,             0.34281,             0.44614,             0.37914,             0.28245,             0.02463,           0.0085821,            0.045995,            0.007327,            0.007327,            0.007327
                  29,            0.025392,            0.012414,            0.033336,              0.4879,             0.44923,             0.36852,              0.2867,             0.02477,           0.0083842,            0.045158,            0.007228,            0.007228,            0.007228
                  30,             0.02585,            0.012325,            0.031339,             0.77191,             0.31968,             0.38467,              0.2791,            0.026529,            0.008985,            0.043099,            0.007129,            0.007129,            0.007129
                  31,            0.024977,            0.012472,            0.031041,             0.47303,             0.44156,             0.39241,              0.3057,             0.02365,           0.0087228,            0.043333,             0.00703,             0.00703,             0.00703
                  32,            0.024431,            0.011729,            0.031001,             0.63102,              0.4036,             0.40715,             0.30227,            0.024583,            0.008667,            0.041508,            0.006931,            0.006931,            0.006931
                  33,            0.024548,            0.011721,            0.029025,             0.65288,             0.41943,             0.41077,             0.32554,             0.02342,           0.0081573,            0.041553,            0.006832,            0.006832,            0.006832
                  34,            0.024096,            0.011977,             0.02731,             0.65382,             0.42504,              0.4366,             0.34177,            0.024579,           0.0092778,            0.040278,            0.006733,            0.006733,            0.006733
                  35,            0.023754,             0.01196,            0.027739,              0.6538,             0.39345,             0.41822,             0.33182,            0.023374,           0.0089421,            0.040754,            0.006634,            0.006634,            0.006634
                  36,            0.024486,            0.011654,            0.026577,             0.60468,             0.40799,             0.43108,             0.34332,            0.022722,            0.008616,             0.03923,            0.006535,            0.006535,            0.006535
                  37,            0.023914,            0.011769,            0.025732,             0.53433,             0.44195,             0.44789,             0.34625,            0.023664,           0.0087709,            0.039441,            0.006436,            0.006436,            0.006436
                  38,            0.023573,            0.011929,            0.025887,               0.413,             0.59699,             0.47807,             0.38132,            0.022956,           0.0083938,             0.03929,            0.006337,            0.006337,            0.006337
                  39,            0.022655,            0.011191,             0.02427,             0.64384,             0.40919,             0.47721,             0.37584,            0.023622,           0.0083418,            0.038605,            0.006238,            0.006238,            0.006238
                  40,            0.023449,            0.010972,            0.023909,             0.67317,             0.40859,             0.48962,             0.39903,            0.022417,           0.0083575,            0.038238,            0.006139,            0.006139,            0.006139
                  41,            0.023006,             0.01138,            0.023466,             0.69523,             0.43968,             0.50233,             0.40459,             0.02247,           0.0088811,            0.037287,             0.00604,             0.00604,             0.00604
                  42,            0.023347,            0.011457,            0.022114,              0.6236,             0.47182,             0.49537,             0.40179,            0.022158,           0.0084624,            0.036776,            0.005941,            0.005941,            0.005941
                  43,            0.022521,            0.011179,            0.021474,             0.47326,             0.60716,             0.49222,             0.40768,            0.023039,           0.0086846,            0.036922,            0.005842,            0.005842,            0.005842
